Codigo,Nome,Ementa
EFL0044,TECNOLOGIA DE PRODUTOS FLORESTAIS - 60h,Perfil do Setor Industrial florestal brasileiro. Lâminas de madeira.Produção de Compensado. Adesão e Adesivos. Produção de chapas de madeira aglomerada. OSB.Produção de chapas de fibras. MDF. Produção de chapas madeira cimento. Resinagem. Óleos essenciais. Noções de celulose e papel. Noções de carvão vegetal. Noções de móveis. Viga laminada.
EFL0049,TECNOLOGIA DA MADEIRA - 60h,"FORMAÇÃO DO TRONCO: PAREDE CELULAR CRESCIMENTO DA ÁRVORE PROPRIEDADES FÍSICAS: MASSA ESPECÍFICA, TEOR DA UMIDADE, RETRATIBILIDADE PROPRIEDADES MECÂNICAS: FLEXÃO ESTÁTICA, COMPRESSÃO, TRAÇÃO, DUREZA, CISALHAMENTO, FENDILHAMENTO NOÇÕES DE QUÍMICA DA MADEIRA: LIGNINA, CELULOSE, POLIOSES, EXTRATIVOSPROPRIEDADES ESPECIAIS: TÉRMICA, ELÉTRICA E ACUSTICA."
ENC0035,INTRODUÇÃO À MECÂNICA DOS SÓLIDOS - 60h,Geometria das massas. Equilíbrio: partícula e corpo rígido. Forças internas (vigas). Tensões. Deformações. Propriedades Mecânicas. Cargas axiais. Flexão. Cisalhamento.
ENC0037,TRANSFERÊNCIA DE ENERGIA E MASSA - 75h,"1) Mecânica dos fluidos
1.1) Propriedades dos fluidos
1.2) Estática dos fluidos - manometria, forças em superfícies planas e curvas,
empuxo, estabilidade de corpos submersos e flutuantes
1.3) Estudo dos fluidos em movimento - tipos de escoamento, conceitos de sistema
e volume de controle, conservação de massa, equação de energia e suas aplicações,
equação de Bernoulli, linhas de gradiente de energia, equação da quantidade de
movimento e suas aplicações
1.4) Análise dimensional e semelhança dinâmica
1.5) Escoamentos internos - efeitos de viscosidade, escoamentos laminar e
turbulento, perdas distribuídas e localizadas, escoamento permanente à superfície
livre.
1.6) Máquinas de fluxo - teoria, diagrama de velocidades, equações teóricas das
máquinas, aplicações simples de curvas de bombas 3 curvas de sistema
1.7) Escoamentos externos
1.8) Escoamento de fluidos compressíveis
2) Transferência de massa
2.1) Difusão molecular e difusividade
2.2) Transferência de massa por convecção e difusão turbulenta
3) Transmissão de calor."
ENC0053,DESENHO TECNICO - 60h,"Sistemas de projeção sistemas de representação esboços à mão livre e perspectivas escalas introdução à computação gráfica modelamento 3D em computador fundamentos da linguagem VRML modeladores 3D cortes e seções introdução à fotogrametria cotagem normas técnicas fundamentos do projeto arquitetônico projeto arquitetônico em 3D.(Disciplina comum a vários cursos, porém com turmas específicas para cada curso. Ementa comum, com abordagem específica e trabalho de prático final diferenciado para cada curso.)"
ENC0054,GEOMETRIA DESCRITIVA - 60h,"Estudos do ponto, da reta e do plano. Paralelismo e perpendicularismo entre retas e pontos. Métodos descritivos: mudança de planos, rotação, rebatimento e alçamento. Problemas métricos: distâncias e ângulos entre elementos geométricos. Representação de poliedros e sólidos de revolução. Seção plana em poliedros e sólidos de revolução"
ENC0132,MECANICA DOS SOLIDOS 1 - 60h,Resumo de cálculo vetorial. Geometria das massas. cinemática: vínculos e graus de liberdade necanismos simples. Estática: método do equilíbrio: esforços seccionais: definição. Linhas de estado de vigas e pórticos isostáticos simples.Treliças simples e compostas: método de Ritter e Cremona. Método dos trabalhos virtuais: aplicações a determinação de esforços e linhas de influência de estruturas isostáticas. Dinâmica dos corpos rígidos: 2a. lei de Newton teorema do movimento do centro de massa esforços de origem dinâmica em elementos de mecanismos em movimento.
ENC0166,HIDROLOGIA APLICADA - 60h,"Ciclo hidrológico. Bacia hidrográfica. Medidas climatológicas. Precipitação. Infiltração. Evaporação e transpiração. Fluviometria. Escoamento superficial. Águas subterrâneas - fluxo, técnicas de localização e prospecção de aquíferos, hidráulica de poços. Estatística aplicada. Regularização de vazões e controle de cheias. Técnicas de previsão de cheias e secas."
ENC0267,CARTOGRAFIA E GEOPROCESSAMENTO APLICADO - 60h,"Cartografia básica e temática: Representação cartográfica base de dados cartográficos cartas de inventário, diagnóstico e prognóstico. Introdução ao geoprocessamento: geocodificação tratamento de dados espaciais. Sistemas de informações geográficas: Componentes e funcionalidades de um SIG Modelagem de dados. Noções de topografia: Levantamentos topográficos, planimétricos e altimétricos Noções de geodésia. Introdução ao sensoriamento remoto: Conceitos radiométricos básicos Comportamento espectral de alvos Níveis de aquisição de dados Processamento digital de imagens."
ENC0274,ESTATÍSTICA APLICADA À ENGENHARIA AMBIENTAL - 60h,"Fundamentos da Probabilidade e Estatística na Engenharia. Teoria da probabilidade. Estatística descritiva. Inferência estatística. Regressão e Correlação. Análise multivariada. Aplicações em engenharia ambiental: controle de qualidade e planejamento de experimentos, tendências em séries temporais de precipitação e temperatura, eventos extremos de seca e cheias, análise de risco ambiental, sistemas multidimensionais, análise e previsão de variáveis hidroclimatológicas."
ENE0001,ELETRICIDADE BÁSICA - 60h,Circuitos elétricos. Circuitos monofásicos e trifásicos de corrente alternada em regime permanente senoidal. Transformadores. Máquinas elétricas. Instalações elétricas de luz e força. Segurança em instalações e serviços em eletricidade.
ENE0002,LABORATÓRIO DE ELETRICIDADE BÁSICA - 30h,Circuitos elétricos. Instalações elétricas. Acionamento de máquinas elétricas.
ENE0013,ALGORITMOS E ESTRUTURA DE DADOS - 60h,Desenvolvimento sistemático de algoritmos. Algoritmos triviais em soluções computacionais. Conceitos de elaboração e teste de algoritmos. Conceitos de modularidade e refinamentos sucessivos. Estruturas de dados homogêneas e heterogêneas. Introdução às estruturas de dados estáticas e dinâmicas (ponteiros). Desenvolvimento de algoritmos de ordenação e busca. Complexidade computacional. Aplicações de algoritmos e estrutura de dados em problemas de redes de comunicação e na computação de dados.
ENE0066,INTRODUÇÃO AOS CIRCUITOS ELÉTRICOS - 30h,Conceitos básicos.Lei de Ohm.Leis de Kirchhoff.Circuitos resistivos.Técnicas de análise nodal e de laço.Amplificadores Operacionais.Princípio da superposição.Teoremas de Thévenin e de Norton.
ENE0067,SINAIS E SISTEMAS EM TEMPO CONTÍNUO - 60h,Sinais e sistemas. Análise no domínio do tempo de sistemas de tempo contínuo. Análise de sistemas de tempo contínuo usando a transformada de Laplace. Análise de sinais periódicos de tempo contínuo: a série de Fourier. Análise de sinais aperiódicos de tempo contínuo: a transformada de Fourier. Análise no espaço de estados de sistemas de tempo contínuo.
