id,codigo,nome,semestre,horas,requisitos,corequisitos,area,tipo,horario
ene0274,ENE0274,FUNDAMENTOS DE REDES,98,60,,,exatas,OPT,35T23
ene0289,ENE0289,CIRCUITOS POLIFASICOS,98,60,,,exatas,OPT,35M34
ene0304,ENE0304,CIRCUITOS ELÉTRICOS,98,60,,,exatas,OPT,"24T23, 35T23, 46M12"
enm0027,ENM0027,TECNOLOGIAS DE COMANDO NUMERICO,98,60,,,prodesp,OPT,24M34
enm0068,ENM0068,TERMODINAMICA 1,98,60,,,prodesp,OPT,"35T45, 46M34"
enm0071,ENM0071,TRANSFERENCIA DE CALOR,98,90,,,prodesp,OPT,"246M34, 24M34, 6M12"
enm0072,ENM0072,INSTALACOES TERMOMECANICAS 1,98,60,,,prodesp,OPT,35T45
enm0080,ENM0080,FENOMENOS DE TRANSPORTE,98,75,,,prodesp,OPT,"24M34, 35T23, 4T23, 5T23, 6T234"
enm0082,ENM0082,MECANICA DOS FLUIDOS 2,98,75,,,prodesp,OPT,"24M34, 6M345"
enm0090,ENM0090,MATERIAIS DE CONSTRUCAO MECANICA 1,98,90,,,prodesp,OPT,"246M12, 24M12, 6M34, 6T45"
enm0120,ENM0120,MECANICA 1,98,60,,,prodesp,OPT,"35T23, 46T23"
enm0121,ENM0121,MECANICA 2,98,60,enm0120,,prodesp,OPT,"24M12, 35M12"
enm0122,ENM0122,PROJETO DE MAQUINAS 1,98,60,,,prodesp,OPT,24M12
enm0123,ENM0123,PROJETO DE MAQUINAS 2,98,60,,,prodesp,OPT,35M34
enm0124,ENM0124,PROJETO DE SISTEMAS MECANICOS,98,60,,,prodesp,OPT,35M34
enm0127,ENM0127,TECNOLOGIA DE FABRICACAO 1,98,45,,,prodesp,OPT,5M1234
enm0132,ENM0132,DESENHO MECANICO ASSISTIDO POR COMPUTADOR 2,98,60,,,prodesp,OPT,24M34
enm0134,ENM0134,SISTEMAS INTEGRADOS DE MANUFATURA,98,60,,,prodesp,OPT,56T23
enm0140,ENM0140,MECANICA DOS FLUIDOS 1,98,75,,,prodesp,OPT,46M12
enm0145,ENM0145,METROLOGIA,98,60,,,prodesp,OPT,35M12
enm0146,ENM0146,TECNOLOGIA MECANICA 1,98,60,,,prodesp,OPT,35T23
enm0164,ENM0164,MECANICA DOS MATERIAIS 1,98,60,,,prodesp,OPT,35M34
enm0165,ENM0165,MECANICA DOS MATERIAIS 2,98,60,enm0164,,prodesp,OPT,35M12
epr0014,EPR0014,CONTROLE ESTATÍSTICO DE PROCESSOS,98,60,,,prodesp,OPT,24N34
epr0021,EPR0021,SEMINÁRIO EM ENGENHARIA DE PRODUÇÃO,98,60,,,prodesp,OPT,5N1234
epr0022,EPR0022,SISTEMAS DE SUPORTE À DECISÃO,98,60,,,prodesp,OPT,24N12
epr0023,EPR0023,TÓPICOS ESPECIAIS EM GESTÃO DA PRODUÇÃO,98,60,,,prodesp,OPT,24T45
epr0036,EPR0036,FINANÇAS COMPORTAMENTAIS E PESSOAIS,98,30,,,prodesp,OPT,2N12
epr0037,EPR0037,SISTEMA DE PRODUÇÃO ENXUTA,98,60,,,prodesp,OPT,35N12
epr0038,EPR0038,GERENCIAMENTO DE PROJETOS COMPLEXOS,98,30,,,prodesp,OPT,3N12
epr0047,EPR0047,GERENCIAMENTO DA CADEIA DE SUPRIMENTO,98,60,,,prodesp,OPT,3T2345
epr0048,EPR0048,INTRODUÇÃO A METODOLOGIA DE PESQUISA PARA ENGENHARIA DE PRODUÇÃO,98,30,,,prodesp,OPT,4N12
epr0067,EPR0067,TÓPICOS ESPECIAIS EM ENGENHARIA ECONÔMICA,98,30,,,prodesp,OPT,2N34
epr0068,EPR0068,ORGANIZAÇÃO INDUSTRIAL,98,60,,,prodesp,OPT,"4M1234, 2T2345, 5T2345"
epr0074,EPR0074,PROJETO DE SISTEMAS DE PRODUÇÃO 3,98,30,,,prodesp,OPT,"4N34, 4N12"
est0027,EST0027,BIOESTATÍSTICA,98,60,,,exatas,OPT,"35M12, 35M34"
fdd0004,FDD0004,INSTITUIÇÕES DE DIREITO PÚBLICO E PRIVADO,98,60,,,humanas,OPT,"24M12, 35M12, 35N12, 35N34"
fga0133,FGA0133,ENGENHARIA ECONÔMICA,98,60,,,prodesp,OPT,"35M34, 46T45"
fga0152,FGA0152,ERGONOMIA DO PRODUTO,98,60,,,prodesp,OPT,46M12
fga0154,FGA0154,MECANICA DOS SÓLIDOS 1 PARA ENGENHARIA,98,60,,,prodesp,OPT,"35M12, 35M34, 46T23"
fga0155,FGA0155,INTRODUÇÃO AO DESIGN E CONCEPÇÃO DE VEÍCULOS,98,60,,,prodesp,OPT,46T23
fga0168,FGA0168,DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,98,90,,,prodesp,OPT,"235M34, 246M12, 356T45"
fga0204,FGA0204,DINÂMICA DOS FLUÍDOS,98,75,,,prodesp,OPT,26M34
gpp0037,GPP0037,FUNDAMENTOS DA ADMINISTRAÇÃO PÚBLICA,98,60,,,humanas,OPT,"35N12, 35N34, 3N12, 5N12"
ifd0181,IFD0181,FISICA 3 EXPERIMENTAL,98,60,,,exatas,OPT,"2M1234, 2T2345, 3M1234, 4M1234, 6M1234, 6T2345"
igd0021,IGD0021,GEOLOGIA GERAL,98,90,,,exatas,OPT,"357M34, 357T45, 35M12, 35N12, 35T23, 6M1234, 6N1234"
igd0173,IGD0173,GEOLOGIA BÁSICA,98,60,,,exatas,OPT,"46M12, 46T23"
igd0183,IGD0183,TOPOGRAFIA,98,60,,,exatas,OPT,"3M1234, 4T2345, 5M1234, 5T2345, 6M1234, 6T2345, 7M1234"
iqd0003,IQD0003,INTRODUÇÃO À COMPUTAÇÃO APLICADA AOS PROCESSOS QUÍMICOS,98,60,,,exatas,OPT,"24M12, 2T23, 35M34, 3T45"
iqd0005,IQD0005,TRANSFERÊNCIA DE QUANTIDADE DE MOVIMENTO,98,60,,,exatas,OPT,24T45
iqd0009,IQD0009,OPERAÇÕES UNITÁRIAS DA ENGENHARIA QUÍMICA 1,98,60,,,exatas,OPT,35T45
iqd0010,IQD0010,TRANSFERÊNCIA DE MASSA,98,60,,,exatas,OPT,26T23
iqd0011,IQD0011,OPERAÇÕES UNITÁRIAS DA ENGENHARIA QUÍMICA 2,98,60,,,exatas,OPT,35M12
iqd0012,IQD0012,OPERAÇÕES UNITÁRIAS DA ENGENHARIA QUÍMICA 3,98,60,,,exatas,OPT,56T45
iqd0014,IQD0014,LABORATÓRIO DE ENGENHARIA QUÍMICA 1,98,30,,,exatas,OPT,5M34
iqd0032,IQD0032,CINÉTICA QUÍMICA,98,30,,,exatas,OPT,4T23
iqd0046,IQD0046,TERMODINÂMICA APLICADA,98,30,,,exatas,OPT,2T23
iqd0048,IQD0048,ENGENHARIA DE REATORES QUÍMICOS,98,60,,,exatas,OPT,35M34
iqd0058,IQD0058,FUNDAMENTOS DE QUÍMICA,98,90,,,exatas,OPT,"246T45, 26T45, 4T45"
iqd0061,IQD0061,LABORATÓRIO DE QUÍMICA FUNDAMENTAL,98,60,,,exatas,OPT,"3T2345, 4N1234, 6M1234"
iqd0101,IQD0101,TERMODINÂMICA QUÍMICA,98,60,,,exatas,OPT,"35T45, 3N34, 5N12"
iqd0103,IQD0103,EQUILÍBRIO E CINÉTICA QUÍMICA,98,60,,,exatas,OPT,"35M34, 4N34, 6N12"
iqd0153,IQD0153,QUÍMICA GERAL E INORGÂNICA,98,90,,,exatas,OPT,"246M12, 24N34, 2M12, 2N34, 4M12, 4N34, 5N12, 6M12"
iqd0259,IQD0259,PRINCÍPIOS DE EQUILÍBRIOS QUÍMICOS,98,30,,,exatas,OPT,"4N12, 5M12, 6T23"
iqd0262,IQD0262,ESTRUTURA ATÔMICA E LIGAÇÕES QUÍMICAS,98,30,,,exatas,OPT,"2M12, 5N12"
iqd0263,IQD0263,PRINCÍPIOS DA TERMODINÂMICA E CINÉTICA QUÍMICA,98,30,,,exatas,OPT,"3N12, 4M12"
iqd0296,IQD0296,FUNDAMENTOS DE FÍSICO,98,60,,,exatas,OPT,"2N12, 35M34, 46M34, 4M34, 4N34, 6M34"
lip0174,LIP0174,LÍNGUA DE SINAIS BRASILEIRA,98,60,,,humanas,OPT,"24M12, 24M34, 24N12, 24N34, 35M12, 35M34, 35N12, 35N34, 35T23, 35T45, 3M12, 5M12, 6M1234, 6N1234, 6T2345"
mat0039,MAT0039,ALGEBRA LINEAR,98,90,,,exatas,OPT,235T45
mat0053,MAT0053,CALCULO NUMERICO,98,60,,,exatas,OPT,"24M12, 24M34, 35T23, 35T45"
sol0042,SOL0042,INTRODUÇÃO À SOCIOLOGIA,98,60,,,humanas,OPT,"24M12, 24N12, 24T45, 35M34, 35N12, 35T23, 35T45, 3M34, 5M34"
adm0025,ADM0025,ORGANIZACAO E SISTEMAS,98,60,,,humanas,OPT,Não Ofertada
bot0021,BOT0021,MORFOLOGIA E TAXONOMIA DAS FANEROGAMAS,98,90,,,humanas,OPT,Não Ofertada
bot0042,BOT0042,ANATOMIA VEGETAL,98,60,,,humanas,OPT,Não Ofertada
bot0049,BOT0049,MORFOLOGIA VEGETAL,98,60,,,humanas,OPT,Não Ofertada
